accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.8396836519241333,0.9376717805862427,0.4858630299568176,0.9659969210624695,0.8114248514175415,0.9386385679244995,0.9866847395896912,0.38092783093452454,0.9815303683280945,0.9370276927947998,0.0010000000474974513
0.891205370426178,0.9644261598587036,0.4030027985572815,0.9719727039337158,0.8779616951942444,0.9434323906898499,0.9902912378311157,0.34504395723342896,0.9906542301177979,0.9345088005065918,0.0010000000474974513
0.9115744233131409,0.9735016822814941,0.3735758066177368,0.9751226305961609,0.9032781720161438,0.9415148496627808,0.992256224155426,0.3346160054206848,0.9932705163955688,0.9294710159301758,0.0010000000474974513
0.919482409954071,0.9766603112220764,0.36188265681266785,0.9767280220985413,0.9126906991004944,0.948226273059845,0.9942439198493958,0.31984612345695496,0.9933333396911621,0.9382871389389038,0.0010000000474974513
0.9283488988876343,0.9814673662185669,0.3468119502067566,0.982316255569458,0.9195066690444946,0.9549376964569092,0.994489312171936,0.30966275930404663,0.9933949708938599,0.9471032619476318,0.0010000000474974513
0.9276300072669983,0.981303334236145,0.34605035185813904,0.980629563331604,0.9201558232307434,0.9597315192222595,0.994709312915802,0.2982180118560791,0.9908615946769714,0.9559193849563599,0.0010000000474974513
0.9295470714569092,0.9824699759483337,0.34366321563720703,0.9816799163818359,0.9217786192893982,0.9683604836463928,0.994734525680542,0.2920927107334137,0.9822559952735901,0.9760705232620239,0.0010000000474974513
0.9364964962005615,0.9852412343025208,0.33533674478530884,0.9835164546966553,0.929568350315094,0.9626078605651855,0.9959182143211365,0.29002702236175537,0.9896238446235657,0.9609571695327759,0.0010000000474974513
0.9367361664772034,0.982038676738739,0.3417505919933319,0.9831904172897339,0.930217444896698,0.9558964371681213,0.994985044002533,0.3017882704734802,0.99210524559021,0.9496221542358398,0.0010000000474974513
0.9364964962005615,0.9866557717323303,0.32928434014320374,0.982191801071167,0.9308665990829468,0.9635666608810425,0.9954856634140015,0.28964775800704956,0.9896373152732849,0.9622166156768799,0.0010000000474974513
